Item,Price,Link
Screw Terminals,$2,https://www.aliexpress.us/item/3256806456550715.html
Rectifiers,$2,https://www.aliexpress.us/item/3256807891203177.htm
1W Transformer,$13,https://www.aliexpress.us/item/3256804283311436.html?
35V 4700uF Electrolytics,$5,https://www.aliexpress.us/item/3256801889213205.html
LM7812 Voltage Regulator,$3,https://www.aliexpress.us/item/3256806033968605.html
16V 330uF Electrolytics,$4,https://www.aliexpress.us/item/3256801889213205.html
250V 330uF Electrolytics,$5,https://www.aliexpress.us/item/3256801890525893.html
10uH Inductors,$8,https://www.aliexpress.us/item/3256802493205525.html
IRFP460 MOSFETs,$3,https://www.aliexpress.us/item/3256806648557481.html
TO-247 Heatsink,$1,https://www.aliexpress.us/item/3256805656895845.html
PVC Coupler,$5,https://www.amazon.com/Coupling-Fittings-Contractor-Connectors-Structure/dp/B0DP5XQ1QM/
2kV 0.1uF Film Capacitors,$5,https://www.aliexpress.us/item/2251832822202530.htm
10K Potentiometers,$3,https://www.aliexpress.us/item/3256809269867205.html
28AWG Magnet Wire,$12,https://www.amazon.com/BNTECHGO-AWG-Magnet-Wire-Transformers/dp/B07DYF53ZN/
18AWG Primary Wire,$3,https://www.aliexpress.us/item/2251832439120214.html
Perfboard,$3,https://www.aliexpress.us/item/3256806802956681.html
,$75,
